SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubcategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-AAutomation,EU West,2019-04-03,Automation,Process,95eca2c1-9519-4c55-baa1-9a0e0b201e25,Basic Runtime,,0.166666666666667,0.0016866,0.0002811,Microsoft.Automation,Microsoft.Automation/automationAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-AAutomation/providers/Microsoft.Automation/automationAccounts/myAutomationAccount,,,,,,Automation,Process,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Storage,Standard SSD Managed Disks,fdaabab6-fd30-4d4d-9998-a97c0fbd2c41,E10 Disks,EU North,0.025002,8.09568,0.20240819136,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-OSDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,defaultresourcegroup-weu,EU West,2019-04-01,Security Center,,4f8f8a7e-8635-46df-b708-177c3c2a8591,Standard Trial Node,,24,0,0,microsoft.operationalinsights,microsoft.operationalinsights/workspaces,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourcegroups/defaultresourcegroup-weu/providers/microsoft.operationalinsights/workspaces/defaultworkspace-f55edc34-b2f6-42f6-b100-9f68e5110bb7-weu,,,,,,Security Center,Security Center,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,cloud-shell-storage-westeurope,EU West,2019-04-03,Storage,Tables,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,LRS Data Stored,,0.000054,0.059031,0.000003187674,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csbf55edc34b2f6x42f6xb10,"""ms-resource-usage"": ""azure-cloud-shell""",,,,,Storage,Tables,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,cloud-shell-storage-westeurope,EU West,2019-04-02,Storage,Files,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,LRS Data Stored,,0.166656,0.050598,0.008432460288,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csbf55edc34b2f6x42f6xb10,"""ms-resource-usage"": ""azure-cloud-shell""",,,,,Storage,Files,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Storage,Standard SSD Managed Disks,fdaabab6-fd30-4d4d-9998-a97c0fbd2c41,E10 Disks,EU North,0.025002,8.09568,0.20240819136,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-DataDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Storage,Standard SSD Managed Disks,eb1e1a6a-58d5-491e-8fcf-83cb555a3dee,LRS Snapshots,EU North,0.666738,0.1113156,0.0742183405128,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-DataDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,TestRG,EU North,2019-04-03,Storage,Tiered Block Blob,c3867359-7044-4ef7-9049-01ef23565e7b,Hot LRS Data Stored,EU North,0.13149,0.0185526,0.002439481374,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/TestRG/providers/Microsoft.Storage/storageAccounts/bfrankfiles,,,,,,Storage,Tiered Block Blobs v2,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-02,Bandwidth,,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,Zone 1,0.01736,0.073367099999999,0.001273652856,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/BackupAzureVM,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrOut""}",,,Bandwidth,Bandwidth - Outbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-03,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,16,0.111315599999926,1.78104959999881,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/BackupAzureVM,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
