SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubcategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Ex2-RG,EU North,2019-04-05,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,0.300006,0.111315599999926,0.033395347893578,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Ex2-RG/providers/Microsoft.Compute/virtualMachineScaleSets/myVMScaleSet,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": ""myVMScaleSet_4"",  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-Costs,EU West,2019-04-05,Bandwidth,,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,Zone 1,0.00006,0.0733671,0.000004402026,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-Costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Bandwidth,Bandwidth - Outbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-Costs,EU West,2019-04-04,Storage,Tables,9cb0bde8-bc0d-468c-8423-a25fe06779d3,Write Operations,,0.0005,0.000303588,0.00000015179400000000000000,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-Costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Storage,Tables,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-Costs,EU West,2019-04-04,Storage,Tiered Block Blob,c9711c6c-2fb5-4ff1-ad23-17e9beab62ba,Cool Read Operations,EU West,0.0001,0.008433,0.000000843300000000000000,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-Costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Storage,Tiered Block Blobs v2,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-04,Bandwidth,,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,Zone 1,0.001327,0.0733671,0.0000973581417,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/RestoredVM,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrOut""}",,,Bandwidth,Bandwidth - Outbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Ex2-RG,EU North,2019-04-05,Load Balancer,Standard,dfc7cc11-fbe2-41c8-b6fa-24a574223938,Data Processed,,0.325571346096694,0.0042165,0.001372771580817,Microsoft.Network,Microsoft.Network/loadBalancers,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Ex2-RG/providers/Microsoft.Network/loadBalancers/myLoadBalancer,,,"{  ""VIP"": ""52.156.195.68""}",,,Load Balancer,Standard Load Balancer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-04,Storage,Standard SSD Managed Disks,eb1e1a6a-58d5-491e-8fcf-83cb555a3dee,LRS Snapshots,EU North,0.888744,0.1113156,0.0989310716064,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-DataDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Sceno-BackupAzureVM,EU North,2019-04-04,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,1.683347,0.111315599999926,0.187382781313075,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Sceno-BackupAzureVM/providers/Microsoft.Compute/virtualMachines/RestoredVM,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Sceno-BackupAzureVM,EU North,2019-04-04,Bandwidth,,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,Zone 1,0.000618,0,0,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Sceno-BackupAzureVM/providers/Microsoft.Compute/virtualMachines/RestoredVM,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrIn""}",,,Bandwidth,Bandwidth - Inbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Ex2-RG,EU North,2019-04-05,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,0.283339,0.111315599999926,0.031540050788379,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Ex2-RG/providers/Microsoft.Compute/virtualMachineScaleSets/myVMScaleSet,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": ""myVMScaleSet_5"",  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
