"UsageDateTime";"ResourceGroup";"ResourceLocation";"MeterCategory";"MeterSubcategory";"MeterName";"InstanceID";"UsageQuantity";"ResourceRate";"PreTaxCost";"Currency"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0586";"0,0016866";"0,00684523476";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"20,5054";"0,0016866";"0,03458440764";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-DataDisk";"4,0646";"0,0016866";"0,00685535436";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"Disk Operations";"BackupAzureVM-OSDisk";"19,9818";"0,0016866";"0,03370130388";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"restoredvm-datadisk-001-20190404-063628";"0,008334";"8,09568";"0,06746939712";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"restoredvm-osdisk-20190404-063628";"0,008334";"8,09568";"0,06746939712";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
